from;to;relation;year;format;category;genre;rank;youngtalent;money;task;presidency;expert;field
abdullah_khan;nannen_preis;1;2017;2;2;NA;1;2;0;NA;NA;NA;NA
abdullah_khan;axel_springer_preis;1;2017;2;2;NA;1;2;5000;NA;NA;NA;NA
abdullah_khan;axel_springer_akademie;2;2017;NA;NA;NA;NA;NA;NA;10;NA;NA;NA
abdullah_khan;journalist_des_jahres;3;2017;NA;NA;NA;NA;NA;NA;NA;2;2;NA
achim_dercks;ernst_schneider_preis;3;2019;NA;NA;NA;NA;NA;NA;NA;2;1;3
achim_dercks;ernst_schneider_preis;3;2018;NA;NA;NA;NA;NA;NA;NA;2;1;4
achim_dercks;ernst_schneider_preis;3;2017;NA;NA;NA;NA;NA;NA;NA;2;1;1
achim_fell;grimme_online_award;1;2017;2;2;NA;1;2;0;NA;NA;NA;NA
achim_fell;westdeutscher_rundfunk;2;2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
achim_kasch;alternativer_medienpreis;1;2016;1;3;NA;1;2;500;NA;NA;NA;NA
achim_kasch;afk_max;2;2016;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
achim_schaffrinna;grimme_online_award;3;2015;NA;NA;NA;NA;NA;NA;NA;2;2;NA
achim_schaffrinna;grimme_online_award;3;2016;NA;NA;NA;NA;NA;NA;NA;2;2;NA
achim_wambach;djp;3;2017;NA;NA;NA;NA;NA;NA;NA;2;1;5
achim_wambach;djp;3;2018;NA;NA;NA;NA;NA;NA;NA;2;1;5
achim_wambach;djp;3;2019;NA;NA;NA;NA;NA;NA;NA;2;1;5
adrian_arab;nannen_preis;1;2017;2;2;NA;1;2;0;NA;NA;NA;NA
adrian_arab;axel_springer_preis;1;2017;2;2;NA;1;2;5000;NA;NA;NA;NA
adrian_arab;axel_springer_akademie;2;2017;NA;NA;NA;NA;NA;NA;10;NA;NA;NA
adrian_feuerbacher;deutscher_radiopreis;1;2016;1;3;NA;1;2;0;NA;NA;NA;NA
adrian_feuerbacher;norddeutscher_rundfunk;2;2016;NA;NA;NA;NA;NA;NA;2;NA;NA;NA
adrian_winkler;deutscher_radiopreis;1;2015;1;3;NA;1;2;0;NA;NA;NA;NA
adrian_winkler;westdeutscher_rundfunk;2;2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agnes_taegener;bremer_fernsehpreis;1;2016;2;5;NA;1;2;0;NA;NA;NA;NA
agnes_taegener;radio_berlin_brandenburg;2;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ahmet_senyurt;robert_geisendoerfer_preis;1;2015;2;4;NA;1;2;5000;NA;NA;NA;NA
ahmet_senyurt;hessischer_rundfunk;2;2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
alard_von_kittlitz;axel_springer_preis;3;2016;NA;NA;NA;NA;NA;NA;NA;2;2;NA
alard_von_kittlitz;zeit;2;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
albert_herchenbach;katholischer_medienpreis;3;2015;NA;NA;NA;NA;NA;NA;NA;2;2;NA
albert_herchenbach;stadtgottes;2;2015;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
albert_herchenbach;katholischer_medienpreis;3;2016;NA;NA;NA;NA;NA;NA;NA;2;2;NA
albert_herchenbach;stadtgottes;2;2016;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
albert_herchenbach;katholischer_medienpreis;3;2017;NA;NA;NA;NA;NA;NA;NA;2;2;NA
