id;name;type;sex;institutiontype;workinmedia;poweredbyname
104_6_rtl;104.6 RTL;1;NA;2;NA;NA
105_5_spreeradio;105.5 Spreeradio;1;NA;2;NA;NA
3sat;3sat;1;NA;2;NA;NA
94_3_rs2;94.3 rs2;1;NA;2;NA;NA
98_8_kiss_fm;98.8 Kiss-FM;1;NA;2;NA;NA
aachener_zeitung_nachrichten;Aachener Zeitung/Aachener Nachrichten;1;NA;2;NA;NA
abdullah_khan;Abdullah Khan;0;1;NA;NA;NA
achim_dercks;Dr. Achim Dercks;0;1;NA;2;NA
achim_fell;Achim Fell;0;1;NA;NA;NA
achim_kasch;Achim Kasch;0;1;NA;NA;NA
achim_schaffrinna;Achim Schaffrinna;0;1;NA;1;NA
achim_wambach;Prof. Achim Wambach, Ph.D.;0;1;NA;2;NA
adrian_arab;Adrian Arab;0;1;NA;NA;NA
adrian_feuerbacher;Adrian Feuerbacher;0;1;NA;NA;NA
adrian_winkler;Adrian Winkler;0;1;NA;NA;NA
afk_max;afk max;1;NA;2;NA;NA
agnes_taegener;Agnes Taegener;0;2;NA;NA;NA
ahmet_senyurt;Ahmet Senyurt;0;1;NA;NA;NA
alard_von_kittlitz;Alard von Kittlitz;0;1;NA;1;NA
albert_herchenbach;Albert Herchenbach;0;1;NA;1;NA
albrecht_von_lucke;Albrecht von Lucke;0;1;NA;NA;NA
alena_goebel;Alena Goebel;0;2;NA;NA;NA
alena_isabelle_jabarine;Alena Isabelle Jabarine;0;2;NA;NA;NA
alena_struzh;Alena Struzh;0;2;NA;NA;NA
alex_huth;Alex Huth;0;1;NA;NA;NA
alex_max_mahling;Alex-Max Mahling;0;1;NA;NA;NA
alexander_demling;Alexander Demling;0;1;NA;1;NA
alexander_gorkow;Alexander Gorkow;0;1;NA;NA;NA
alexander_kluge;Alexander Kluge;0;1;NA;1;NA
alexander_knetig;Alexander Knetig;0;1;NA;NA;NA
alexander_koller;Alexander Koller;0;1;NA;1;NA
alexander_kruetzfeldt;Alexander Krützfeldt;0;1;NA;NA;NA
alexander_lahl;Alexander Lahl;0;1;NA;NA;NA
alexander_philipp;Alexander Philipp;0;1;NA;NA;NA
alexander_polte;Alexander Polte;0;1;NA;NA;NA
alexander_schneider;Alexander Schneider;0;1;NA;NA;NA
alexander_schulz;Alexander Schulz;0;1;NA;NA;NA
alexander_smoltczyk;Alexander Smoltczyk;0;1;NA;NA;NA
alexander_sturm;Alexander Sturm;0;1;NA;1;NA
alexander_von_lukowitz;Alexander von Lukowitz;0;1;NA;NA;NA
alexander_von_streit;Alexander von Streit;0;1;NA;NA;NA
alexandra_bauer;Alexandra Bauer;0;2;NA;1;NA
alexandra_borchardt;Dr. Alexandra Borchardt;0;2;NA;1;NA
alexandra_karle;Alexandra Karle;0;2;NA;1;NA
alexandra_rojkov;Alexandra Rojkov;0;2;NA;NA;NA
alexandra_worbs;Alexandra Worbs;0;2;NA;NA;NA
alexej_hock;Alexej Hock;0;1;NA;NA;NA
ali_akinci;Ali Akinci;0;1;NA;NA;NA
alican_kuzu;Alican Kuzu;0;1;NA;NA;NA
alice_bota;Alice Bota;0;2;NA;NA;NA
alice_schwarzer;Alice Schwarzer;0;2;NA;1;NA
alina_andrazcek;Alina Andrazcek;0;2;NA;NA;NA
alina_faltermayr;Alina Faltermayr;0;2;NA;NA;NA
alina_leimbach;Alina Leimbach;0;2;NA;NA;NA
alina_liertz;Alina Liertz;0;2;NA;NA;NA
alina_schadwinkel;Alina Schadwinkel;0;2;NA;1;NA
alisa_ehlert;Alisa Ehlert;0;2;NA;NA;NA
aller_zeitung;Aller Zeitung;1;NA;2;NA;NA
allgemeine_zeitung_mainz;Allgemeine Zeitung Mainz;1;NA;2;NA;NA
alternativer_medienpreis;Alternativer Medienpreis;1;NA;1;NA;Nürnberger Medienakademie e.V., seit 2009 zusammen mit Stiftung Journalistenakademie, unterstützt aktuell u.a. durch Kulturreferat der Stadt Nürnberg, Die Zweite Aufklärung e.V., HTWK Leipzig, Friedrich-Ebert-Stiftung
aminata_belli;Aminata Belli;0;2;NA;1;NA
amrai_coen;Amrai Coen;0;2;NA;NA;NA
amrei_topcu;Amrei Topcu;0;1;NA;NA;NA
analyse_und_kritik;Analyse und Kritik;1;NA;2;NA;NA
andras_schiff;András Schiff;0;1;NA;2;NA
andre_geicke;Andre Geicke;0;1;NA;NA;NA
andre_meister;Andre Meister;0;1;NA;1;NA
andre_paetzold;André Pätzold;0;1;NA;NA;NA
andrea_alexa_kuszak;Andrea-Alexa Kuszak;0;2;NA;1;NA
andrea_hinkelmann;Andrea Hinkelmann;0;2;NA;2;NA
